text,label
সব ঠিক ছিলো কিন্তু বেকগ্রাউন মিউজিকটা ছিলো বিরক্তির কারণ।,0
অনেক সহজে বুঝিয়েছেন স্যার। অনেক অনেক ধন্যবাদ,1
ধন্যবাদ ভাইয়া   আমি দুই বছর ধরে আপনার ভিডিও দেখি।।।আমার খুব ভালো লাগে অনেক সুন্দর করে বুঝিয়ে দিতে পারেন।।।।এই উপন্যাস টা আবার আজ দেখতেছি কারণ অনেক দিন আগে দেখছিলাম তাই,1
আমি প্রত্যাশা করতাম আরও কিছু কিছু বোঝানোর জন্য।,0
"আপনার কথা এতো ভালো লাগলো যা বলে বুঝানো যাবে না,,তাছাড়া কথা হলো আপনার মুখের হাসি টা এতো সুন্দর 🥰🥰",1
আপনি খুব সুন্দর ভাবে বুঝাতে পারেন ধন্যাবাদ,1
সারাজীবন পড়ে যা না বুঝতে পেড়েছি তা আপনার অল্প সময়ের ভিডিও দেখে বুঝতে পারলাম।,1
ভাই আপনার ভিডিও গুলো দেখলে আর কোনো কিছুই দেখতে হয় না,1
সাজেশন থেকে কিছুই পরিক্ষায় আসে নাই হালা,0
এই কথাগুলো আপনি গুইলের কাছ থেকে নিয়েছেন!!!!!,0
ক্যারিয়ারের সাথে অগ্রগতির ভিডিও দেন,0
আপনার জন্য শুভকামনা রইল,1
উচ্ছারন ভুল হাহাহাহাহাহা,0
এত সুন্দর করে আমার দেখা আর কোন চ্যানেল এ বুঝতে পারি নি,1
"এগিয়ে যান  আমরা আছি আপনার সাথে,",1
এটি আমার জন্য খুব সহজ এবং সুসংবাদপূর্ণ ছিল।,1
বার বার অমন হাসি বিরক্তিকর,0
কোর্সটি প্রদান করা মটিভেশনের সাথে পূর্ণ করেনি।,0
এই কোর্সটি আমার কর্মসূচি বা ক্যারিয়ারে সাহায্য করেনি।,0
ভিডিও জাপসা কেন মাদারসোদ,0
"খুবই সুন্দর উপস্থাপন করেছেন, পরীক্ষার আগে শুনে ভালো লেগেছে",1
এতোদিন কোথায় ছিলেন ভাই। এতো বড় কাহিনি আপনি এতো সুন্দর করে বোঝাবেন।  ভাবতেও পারিনি। কাল তো পরিক্ষা। আর ও আগে ভিডিও টি দেখতে পারলে অনেক উপকার হতো   ধন্যবাদ,1
আপনার ভিডিওগুলো একটু জুমিং করে যদি দেখাতে পারতেন তাহলে ভিডিওটা আর একটু স্পষ্ট ধারণা নেওয়া যেত ধন্যবাদ,0
এত সহজ করে কেউ বুঝায়নি।   তাই শিক্ষক ভেদে ছাত্রের শিক্ষা ভিন্নতর হয়ে যায়,1
সালার পুত,0
"কি বলে যে ধন্যবাদ জানাবো তা আমি জানিনা । তবে আপনার জন্য অনেক দোয়া রইল,  আল্লাহ তা&#39;আলা আপনাকে নেক হায়াত দান করুক ।  আর অন্যান্য বিষয় গুলির উপর আপনার উপস্থিতি কামনা করছি ।",1
ভাই আপনার বুঝানো খুব  সুন্দর  লাগছে  ভালোবাসা  রইল  🥰🥰🥰,1
ধন্যবাদ . অনেক উপকৃত হলাম.,1
"ভাই আসসালামু আলাইকুম,,  আসলে সত্যি কথা বলতে কি,,  যখন দেখি আপনি হেঁসে হেঁসে কথা বলেন তখন-ই অনেক বেশি ভালো লাগে,,,, আমরা আশা করি আপনি আরো ভিডিও আপলোড করবেন,,,,,,",1
আস্সালামু আলাইকুম। সার আল্লাহ আপনার হায়াত অনেক লম্বা করুক,1
হালার হালা কি কয় কিছু বুঝি না,0
ভাই আপনার মত যারা অন্যন্যা বিষয় ভালো পারে তারা যদি এত সুন্দর ভাবে ইউটিউবে লেকচার দিতো তাহলে ষাধারণ ছাত্র-ছাত্রীর কোচিং করা লাগত না।অনেক সুন্দর হয়েছে ভাই।,1
"ভিডিও টা অনেক অনেক ভালো হয়েছে ভাই,,ধন্যবাদ ভাই",1
এই কোর্স দিয়ে আমি কিছু নতুন শেখি নি।,0
ধন্যবাদ এত সুন্দর করে বুজার জন্য,1
সারা বছর না পড়ে শেষ ভরসা এখন ইউটিউব। 😢বিশেষ করে টেন মিনিট স্কুল 🙂ধন্যবাদ টেন মিনিট স্কুল ও সকল শিক্ষকদের। ❤ আপনারা সকল পরীক্ষার্থীদের জন্য দোয়া করবেন 🥰,1
ফালতু কথা সব,0
"ভাই কি ছিলো এটা,🥺 এতো সুন্দর করে বুঝতে পারছি, ধন্যবাদ ভাই,অনেক ভালো লাগলো ভাই❤️❤️❤️❤️❤️",1
"ভালো না,,,,অনুশীলনের ক্লাস বেশি ভালো",0
সব ঠিক ছিল কিন্তু বেক-গ্রাউন মিউজিকটা বিরক্তিকর ছিল,0
আপনার মতো শিক্ষক আমার একান্ত দরকার।আমার স্কুেলর কোনো শিক্ষক আমাকে এত ভালো করে বুঝাতে পারে না।,1
ভাই সেরা বুঝাই অনেক ধন্যবাদ ভাই as well as টিম অন্যরকম পাঠশালা ❣️❣️,1
কোর্সটি নিষ্প্রাণিত এবং সুস্থির নয়।,0
পড়ানোর নিয়মকানুন না জানলে পরান কেন,0
বালের ভিডিও বানাস,0
হয়মনদির পো কি কচ বেডা,0
যেরকম ভেবেছিলাম ওরকম মানের কোর্স পাইলাম না,0
খুব ভাল লাগছে ভাই এত্ত ইজি😍😍😍 মাশাল্লাহ,1
এত বারতি কথা যে বলস বেডা,0
গালাগালি খাইতে না চাইলে ভালা করি পরা,0
ভাই আপনার বোঝানো নিয়ম অন্য রকম৷  ধন্যবাদ ভাই 🙂,1
"ধন্যবাদ আপনাকে,,  খুব সহজেই বুজতে পারছি",1
উপস্থাপন অনেক ভালো এবংআমি অনেক সহজ  ভাবে বুঝেছি,1
"আপনাকে অনেক ধন্যবাদ, আাগে আমি এটা পারতাম না,এই ভিডিদেখার পর আমার যে কি উপকার হয়েছে তা আমি ছাড়া আর কেউ জানেনা Many Many Thanks of you",1
"খুব সুন্দর করে বুঝিয়েছেন, মাশাল্লাহ",1
ভাই আপনার ক্লাস সত্যি ই অনেক সুন্দর হয়েছে ধন্যবাদ,1
এমনিতেই তো বিয়ে থেকে টাকা পাচ্ছেন আবার এড কেন লাগতেছে,0
ফালতু বকা বন্ধ করেন,0
এর ক্লাস দেখে অনেক উপকার হয়েছে  কিন্তু সমস্যা আমার প্রশ্ন বুঝতে,0
ধন্যবাদ ভাই।  অনেক কিছু শিখতে পেরেছি।,1
ভুল নিয়ম ।,0
কোর্সটি প্রদান করা শিক্ষা মানের জন্য যোগ্য ছিল না।,0
ব্যাখ্যা ভাল করে দিতে শিখেন সার,0
"আজকে সাম্যবস্থার উপর চাপ,ঘনমাত্রা,তাপমাত্রার প্রভাব বুঝলাম স্যার",1
এক কথায় অসাধারণ একটা ক্লাস করলেন 😍 সমাস এ এখন আলহামদুলিল্লাহ্ আর কোন সমস্যা নেই🥰,1
এতো কঠিন একটা কবিতা অনেক সহজে উপস্থাপন করলেন অসাধারণ ভাই,1
ক্যাপশনে লিখেন একটা প্ররোচনা একটা মানুষকে বোকা বানান কেন,0
কোর্সের প্রশিক্ষণ সম্পন্ন করার জন্য সময় ছিল,0
বস অনেক সুন্দর হয়েছে টিউটরিয়াল গুলো,1
অগা পুরা,0
লাইন গুলো বুঝালেন না,0
"ধন্যবাদ ,,, আশা করি আর কোনো দিন সমাস পড়া লাগবে নাহ ইনশাআল্লাহ...",1
এই গতি অধ্যায়ে কোনটার পরে কোন ভিডিওটা দেখলে বুঝবো তা বুঝতে পারছি না😞,0
এতো ভালো ভাবে সমাস আগে শিকতে পারি নি,1
"ভাই হাজার হাজার টাকা দিয়ে ক্লাস করলাম, আপনার ভিডিও  কোন তোলনা হয় না, ধন্যবাদ দিবোনা ,শুধু ভালোবাসা।যদি পিএস পি নিয়ে যদি কোন ভিডিও বানাইতেন।",1
ভাই অনেক অনেক ধন্যবাদ আপনাকে ❤️,1
কোটি বছর বেঁচে থাকুক আমাদের অন্যরকম পাঠশালা।,1
ধুর বাল আকতে কেন হবে না বোঝা,0
আপনার ক্লাস অনেক ভালো লাগে,1
"ভাই খুবই ভালো ❤,তবে আরেকটু বিস্তারিত ভাবে ভিডিও করলে খুব ই ভালো হতো😊",1
কোন কিছু পড়ালে ওইটার ব্যাখ্যা দেওয়া উচিত তাহলে আমাদের জন্য বুঝতে সুবিধা হবে,0
"খুব ভালো বুঝতে পারলাম এতো দিনে, অনেক ধন্যবাদ দাদা",1
ভাই আমার মনে হয় আপনি নিজেই জানেন না যে কোন টপিকটা পড়াচ্ছেন সো এজন্য আমাদেরকে ভালো করে বুঝাতে পারতেছেন না,0
ঢাকা শহরের কিছু মসজিদের ইমাম,0
টিউটোরিল এর যন্ত্রণা বিরক্ত লাগছে,0
কর্মধারয় সমাস ভেদ আলোচনা করলে ভাল হয়।,0
সারসংক্ষেপ সমীকরণটি তো দিলেন না,0
কোর্সটি আমার কর্মসূচি বা ক্যারিয়ারে সাহায্য করতে পারেনি।,0
"ধন্যবাদ  ,,,,,,,,এরকম ভিডিও আরো দেবেন",1
"ধন্যবাদ, এই প্রথম সমাস পড়ে মজা পেলাম,",1
প্রশাসনিক পক্ষ সমর্থন করেনি,0
মাশাআল্লাহ.....কি বলব.... অসাধারণ ....,1
কোর্সটি আমার বাস্তব জীবনে কোনো গুরুত্বপূর্ণ পরিবর্তন আনি।,0
আপনি কি টাইম নষ্ট করতে আসছেন,0
"খুব সুন্দর বুঝিয়েছেন স্যার, আজ স্কুলের কোয়েশচেন সেম কোয়েশচেন টা দিছিলো পারিনি তবে দুঃখ নেই আলহামদুলিল্লাহ শিখে নিলাম।",1
সত্যিই আপনার ভিডিও দেখে খুবই উপকৃত হলাম  ।আমার একদিন পর পরীক্ষা আর আমি এখন ও সমাস  বুঝতে পারি নাই কিন্তু আপনার ভিডিও দেখার পর আমি সমস্তটা বুঝে গেছি । আপনি অসাধারণ বোঝান ।  ধন্যবাদ,1
ধন্যবাদ অনেক বড় উপকার করলেন।,1
পড়ালেখার মান এত কম,0
আপনি অনেক  ভালো  বুঝাতে  পারেন,1
শিক্ষণ মাধ্যমে আমি নিজেকে পরিবর্তন করেছি এবং নতুন কিছু শেখেছি।,1
সত্যিই অসাধারণ।আল্লাহ আপনার উত্তম হাত দান করুন,1
স্যার ত দেখি অহংকারি,0
ধন্যবাদ ভালোবাসা নিবেন ❤অনেক উপকৃত হলাম 💝,1
এই অনলাইন কোর্সটি খুব সময়সাপেক্ষ। আমি এটি শেষ করতে পারি না।,0
"ভাই অনেক সহজে কবিতার ব্যাখ্যা টা বুঝে গেছি 🥰 ধন্যবাদ আপনাকে, আপনার বই টা নি নিব 🥰",1
"সত্যি দাদা, এত সহজে  ও গল্পের মাধ্যমে বুঝিয়ে দিলেন, অসাধারণ অনেক ধন্যবাদ দাদা।",1
এই কোর্সটি আমার কর্মসূচির জন্য খুব গুরুত্বপূর্ণ ছিল।,1
বিগ ফ্যান ভাই❤️ মন থেকে অনেক অনেক দো রইলো আপনার জন্য।,1
"ভাই অনেক অনেক ধন্যবাদ,  আমি  Inter এ গত ২ বছরে এই কবিতাটার বিষয়বস্তু ক্লির ছিলাম না,  কিন্তু এডমিশন চলাকালীন সময়ে মাত্র একবার ভিডিও টা দেখে পুরোটা clear হয়ে গেছে,  অনেক ধন্যবাদ ভাই",1
আলহামদুলিল্লাহ 🥰 ভাই অনেক ধন্যবাদ। এতোবার পড়েও এতো বুঝি নি যেমনটা এখন বুঝতে পারছি।,1
"স্যার,ক্যামেরাটা না নড়লে আরো ভালো হতো ভিডিও কোয়ালিটি।🙂",0
দেশের কিছু ভালো শিক্ষা প্রতিষ্ঠানেও মনে হয় এত সুন্দর করে বোঝানো হয় নাহ। আপনাকে অনেক ধন্যবাদ স্যার।লা-শাতেলিয়ার নীতি এতদিনে বুঝতে নাহ পারলেও আজ ভালো করে বুঝতে পেরেছি। :-),1
ধন্যবাদ ভাই।বই পড়ে কিছুই বুঝি নাই কিন্তু আপনার কথা শুনে অনেক কিছু বুঝলাম😍😍😍😍 এমন আরো ভিডিও বানাইয়েন প্লিজ,1
অসাধারন স‍্যার এক ভিডিও তে সব বুঝে নিলাম 💝💝💝,1
ধন্যবাদ ভাই❤️আজ আমার ইর ফাইনাল এক্সাম ছিলো গতকাল থেকে আপনার ভিডিও গুলো দেখে আমার অনেক উপকার হয়ছে অনেক ভালো এক্সাম দিছি আলহামদুলিল্লাহ❤️,1
ধন্যবাদ দিয়ে মন ভরছেনা ভাই। জাস্ট অসাধারণ ভাই। এমন ক্লাস আরো চাই ভাই।,1
মাশা আল্লাহ বুঝানো টেকনিক অসাধারণ 💖💖💖 আজকে পরিক্ষা দিতে যাচ্ছি অবশ্যই সমাসে ফুল মার্কস পাবো।,1
অনেক সুন্দর বুজিয়েছেন প্রিয় স্যার❤,1
স্যার আপনিই সেরা😍😍😍😍😍✌✌✌✌✌✌✌✌✌,1
"ভাই এই প্রথম আমি ভালভাবে সমাস শিখলাম,,,আল্লাহ আপনাকে নেক হাত দান করুক,, আমিন",1
খুব ভাল লাগে আপনার ক্লাস,1
মাত্র ২০ মিনিটে এতো ভালো করে সম্পূর্ণ বিষয় টা বুঝিয়ে দিলেন 🥰আপনাকে ধন্যবাদ দিয়ে ছোট করবো না 🙂 আপনার ক্লাস করতে অনেক আগ্রহী  আপনি চালিয়ে যান💖🥰,1
আমি এই কোর্সটির সাথে সময় কাটানো খুব আনন্দদায়ক ছিল।,1
"খুবই সুন্দর আপনার উপস্থাপনা, প্রতিটি বিষয় স্বচ্ছ জলের মতো করে দিলেন , অসংখ্য ধন্যবাদ আপনাকে ❤️",1
এটা কি ধরনের বোর্ড আর এখানে তিনি কিভাবে এরকম উলটাভাবে লেখেন,0
অনেক ভালো ভাবে বোঝায়ছেন। অনেক সহজেই বুজে গেছি। আপনার জন্য অনেক দোয়া ও শুভ কামনা রইলো🥰🥰,1
বাহ কি চমৎকার অনেক উপকৃত হলাম ❤,1
"আমরা কিন্তু সত্যি বলতে আপনার এই সিএসসি ছাত্র। এত বছর পরে এসেও আপনার ভিডিও গুলায় আমাদের প্রোগ্রামার বানাচ্ছে ❤️🖤
সবসময় আপনার জন্য প্রার্থনা করবো।
ভালো থাকবেন😇",1
চমৎকার ভাবে উপস্থাপন করছেন ❤️,1
পড়াশোনা নিয়ে আমি এত নিরাশ হয়নি আগে।,0
কি যে লাগে কবিতা টা,0
ভাইয়া আমাদের এতো সুন্দর করে বুঝানোর জন্য আপনাকে অসংখ্য ধন্যবাদ 👍👍👍👍,1
অনেক সুন্দর। খুব উপকৃত হলাম,1
ঠিক করে কথাও বলতে পারে না বাল,0
সাউন্ড কোয়ালিটি খুবই বাজে,0
কথা বেশি পড়া কম,0
নেক্সট ভিডিও দেওয়ার আগে আপনার সাউন্ড কোয়ালিটি ঠিক করুন,0
আপনি অনেক সুন্দর ভাবে বুঝান।,1
ভাইয়া আপনাকে অনেক ধন্যবাদ। তিনটি ভিডিও আপলোড নেই। দয়া করে এগুলি আপলোড করে দিন। সব গুলি ডাউনলোড করে নিয়েছি। আর একটা কথা সোর্সকোডগুলি কি আপলোড করতে পারবেন তাহলে সুবিধা হয়। আমি একজন নুতন প্রোগ্রামার।,1
আপনার অনেক জায়গায় ভুল আছে,0
আমি কি বলব বুঝতে পারছি না 🙂 এতো সুন্দর মানে কি বলব ভাষা নাই 😊 অনেক ধন্যবাদ ভাই 🥰 আপনার মতো এতো সুন্দর করে কবিতা বুঝানো শিক্ষক বা ভাই যাই বলি কোনদিন দেখি নাই ❤,1
আসসালামু আলাইকুম ।সমাস যে এত সহজ ভাবে বুঝতে পারব আশা করেনি।,1
"আমার কাল পরিক্ষা,,,,, আপনার ক্লাস করে আমার খুব উপকার হয়েছে। ধন্যবাদ!!",1
অসাধারণ লেকচার ভাইয়া।😍😍😍,1
এগুলো খুবই গুরুত্বপূর্ণ বিষয়।  যা একেবারেই অজানা ছিলো।,1
পড়াচ্ছেন নাকি টিকটকে ভিডিও বানাচ্ছেন,0
আমাদেরকে পড়ানোর আগে কি নিজে গুগল থেকে পড়ে আসেন,0
বলদা শালা সামান্য ম্যাথ এইটা বুঝাইলে পুন ফাডি গেসে,0
খুব সুন্দর করে এবং সহজে বুঝিয়ে দেওয়ার জন্য ধন্যবাদ আপনাকে 🥰,1
আপনার তুলনা হয় না ধন্যবাদ আপনাকে,1
আপনি অনেক সুন্দর বোঝান।আমি এটা বুঝতাম না আপনার ক্লাস করে আমি এখন ভালোই বুঝেছি।আপনাকে ধন্যবাদ আমাদের কে সময় দেওয়ার জন্য।,1
"আসসালামু আলাইকুম , মুর্ছনা  বাননটি কি আদৌও সঠিক? আমার কেন জানি মনে হচ্ছে মূর্ছনা এটা হবে।",0
"ধন্যবাদ , আপনাকে এত সুন্দর  করে কবিতা  গুলো  ব্যাখার  করা জন্য ,  অর্নাস ১ম বর্ষের বাংলা  বিভাগের  কবিতা  গুলো  এভাবে ব্যাখা করে দিলে  খুব ভালো হতো ভাই  ,  আপনি খুব সহজ ভাবে  বুঝান,",1
"এত বছর শিক্ষা লাভ করে যা শিখতে পারি নি. আপনার ভিডিও দেখে তাই শিখলাম...শুরুতে শিখতে পারলে হয়তো আরও ভাল করতাম,, ধন্যবাদ আপনাকে, শিক্ষক হওর যোগ্যতা আপনার মধ্যেই বিদ্যমান, যা সবার মধ্যে নাই।",1
"ধন্যবাদ, এতো সুন্দর ভাবে বোঝানোর জন্য 🖤🖤🖤",1
একবানে অসাধারণ❤❤❤,1
ক্লাস ভালো ছিল কিন্তু হাতের লেখা আরো স্পষ্ট হলে ভালো হতো,0
টপিক গুলা উদাহরণ দিয়ে বুঝালে ভালো হয়,0
"কঠিন একটা ট্রপিক,  অল্পতেই এত সহজ হয়ে গেল,",1
"  এই সব কিছু পড়ার কোন মানে নেই, ভাই  ",0
এত ইংলিস ওয়ারড ব্যবহার করলে ত কথার মানে বুঝা যাবে না,0
অসংখ্য ধন্যবাদ এই অধ্যায় নিয়ে একটি ভিডিও আপলোড করাট জন্য❤❤❤❤❤❤❤,1
আপনি এতো নিখুঁত ভাবে কবিতা টি বুঝিয়ে দিয়েছে.... যে আমার কনো অসুবিধা হয়নি। কবিতাটির আসল কাহিনি বুঝতে ।  ধন্যবাদ....!,1
অনেক সুন্দর হইছে ধন্যবাদ এতো সুন্দর ভিডিও দেওর জন্য।,1
"অনেকের ভিডিও দেখি আমি,বাট আপনার ভিডিও একদম সহজ লাগে আর আমি অনেক ক্লেয়ারলিই বুঝি আলহামদুলিল্লাহ্‌
আল্লাহ্‌ আপনার জ্ঞান বৃদ্ধি করুক।",1
আসসালামুয়ালাইকুম 🌚আপনি আমাদের জন্য অনেক কষ্ট করেন 😒 এবং আপনি অনেক সুন্দর করে বুঝিয়ে বলতে পারেন 😁 ধন্যবাদ ভাই আপনাকে অনেক অনেক ধন্যবাদ🥰🥰😘😘😁😁😁,1
বিজ্ঞাপন,0
কোন ব্যাকগ্রাউন্ড সাউন্ড দে যায়না?,0
এর জন্য অনেক শুভকামনা রইল। অসাধারণ আপনার ক্লাস।,1
হিজরার মত কথা কত্তগুলা বলে,0
ব্যাসবাক্য সহ সমাস লেখার নিয়ম টা একটু শেখাবেন,1
কোর্সটি পূর্বে আমার প্রয়োজনীয় স্বল্পতা পূর্ণ করেননি।,0
কি পড়াইতেছেন?,0
শুরু থেকে শেষ পর্যন্ত এই কোর্সটি আমার জন্য মূল্যবান ছিল।,1
ধন্যবাদ অনেক সুন্দর করে বুঝিয়েছেন,1
ক্লাস টা ভালো ছিলো কিন্তু হাতের লেখা আরো স্পষ্ট হলে ভালো হতো,0
ণণঙণ না বলে গেছেন যা বলেছেন তা ঠিক নয় হালও ধরবে,0
কবিতা পরতে আমার বরাবরি ভালো লাগত।কিন্তু যত দিন যায় কবিতার ভাবার্থগুলো বুঝা অনেক কষ্টকর হয়ে উঠছিল। কিন্তু এখন আপনার video দেখে আবার কবিতার প্রেমে পড়ে গেলাম🥰🥰🥰🥰,1
ভাই  অনেক   সুন্দর করে বুঝিয়েছেন। আমি খুব অল্পতেই বুঝে  ফেলেছি।,1
সুপার ভাই তুমি সত্যি তুমি সুপার ধন্যবাদ।,1
